# VERTIKAAL 1 M.S. IJSSELMEER
* 13-05-2025 10:22:23
#X: 33200 - Y: 400550
#06 PROJECTCODE: ZH19
#00 DONARLOCATIE: VTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: Noord
#22 STARTPUNT: vts-01
#23 EINDPUNT: vts-17
#51 OPDRACHTGEVER: RIZAMON-LAN
#52 BEHEERDER: RIZAIMMLLSD
@ par1.dat

~     X       Y    DATUM   TIJD       T   GELBH     %O2      pH SENSHTE CHLFRFU TROEBHFNU  CHLPHL  SALNTT     CL-   DICHT      O2   GELDHD
  33200  400550 20250513 102240   17.31   36.98     109    8.29    1.06    0.29    0.44    0.43   27.98   15797   20.10    8.93    3919
  33200  400550 20250513 102318   17.29   36.96     108    8.28    1.86    0.35    0.38    0.68   27.98   15799   20.11    8.90    3920
  33200  400550 20250513 102345   17.29   36.97     108    8.28    2.94    0.40    0.49    0.91   27.98   15802   20.11    8.87    3920
  33200  400550 20250513 102410   17.29   36.96     108    8.28    3.94    0.42    0.39    1.01   27.98   15800   20.11    8.85    3920
  33200  400550 20250513 102504   17.21   36.90     106    8.28    4.93    0.40    0.45    0.91   27.98   15799   20.13    8.72    3919
  33200  400550 20250513 102530   17.18   36.89     106    8.28    5.97    0.42    0.42    0.99   28.00   15810   20.15    8.76    3922
  33200  400550 20250513 102605   16.03   35.87     104    8.29    6.89    0.39    0.43    0.85   27.94   15783   20.36    8.78    3915
  33200  400550 20250513 102653   14.19   34.52     103    8.29    7.87    0.34    0.38    0.67   28.05   15850   20.83    8.98    3927
  33200  400550 20250513 102718   13.90   34.29     102    8.29    8.96    0.46    0.45    1.18   28.05   15855   20.89    8.96    3928
  33200  400550 20250513 102744   14.27   34.70     102    8.28    9.90    0.49    0.43    1.31   28.12   15882   20.87    8.90    3934
  33200  400550 20250513 102842   13.82   34.21      99    8.28   10.93    0.46    0.40    1.19   27.99   15818   20.86    8.73    3920
