# VERTIKAAL 2 M.S. IJSSELMEER
* 13-05-2025 10:32:00
#X: 33140 - Y: 400240
#00 DONARLOCATIE: VTS-02
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat

~     X       Y    DATUM   TIJD       T   GELBH     %O2      pH SENSHTE CHLFRFU TROEBHFNU  CHLPHL  SALNTT     CL-   DICHT      O2   GELDHD
  33140  400240 20250513 103213   17.44   37.02     110    8.30    1.12    0.36    0.37    0.73   27.93   15768   20.04    9.06    3913
  33140  400240 20250513 103307   17.42   37.01     110    8.30    2.08    0.42    0.39    1.00   27.93   15771   20.04    8.99    3914
  33140  400240 20250513 103349   17.44   37.04     110    8.30    3.05    0.41    0.40    0.97   27.94   15776   20.05    9.01    3915
  33140  400240 20250513 103416   17.43   37.04     110    8.30    4.10    0.48    0.39    1.27   27.95   15780   20.06    8.98    3916
  33140  400240 20250513 103457   17.43   37.05     109    8.30    5.01    0.43    0.30    1.04   27.95   15784   20.06    8.93    3917
  33140  400240 20250513 103522   17.40   37.03     109    8.30    5.99    0.41    0.36    0.96   27.96   15789   20.07    8.93    3918
  33140  400240 20250513 103630   15.95   35.90     106    8.30    7.09    0.36    0.38    0.76   28.00   15817   20.43    8.97    3922
  33140  400240 20250513 103732   14.98   35.15     104    8.30    8.00    0.36    0.44    0.74   28.04   15840   20.66    8.94    3926
  33140  400240 20250513 103800   14.11   34.69     103    8.30    9.05    0.37    0.42    0.79   28.26   15970   21.01    8.99    3953
  33140  400240 20250513 103838   13.75   34.15     100    8.29   10.01    0.39    0.43    0.87   28.04   15845   20.91    8.86    3925
  33140  400240 20250513 103926   13.14   33.65      93    8.25   10.95    0.54   13.00    1.54   28.02   15834   21.01    8.29    3922
  33140  400240 20250513 104024   12.94   33.15      92    8.23   11.97    3.89  255.50   16.15   27.70   15655   20.81    8.29    3883
  33140  400240 20250513 104027   12.95   33.14      92    8.23   12.05    3.07  218.67   12.57   27.70   15649   20.80    8.30    3882
