# VERTIKAAL 10 M.C.ECOS 8 VERTIKAAL
* 26-05-2025 11:30:20
#X: 37397 - Y: 393849
#00 DONARLOCATIE: VTS-08
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1017>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <5>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU
  37397  393849 20250526 113029    0.99   17.45   16.29   8.21 7.77      94   37.04    4017   28.75   16250    0.35    0.30
  37397  393849 20250526 113047    2.00   16.35   16.28   8.21 7.77      94   37.04    4018   28.76   16254    0.47    0.26
  37397  393849 20250526 113108    3.04   15.65   16.26   8.21 7.82      95   37.05    4019   28.77   16262    0.64    0.34
  37397  393849 20250526 113122    4.00   14.69   16.23   8.21 7.81      94   37.02    4020   28.78   16266    0.57    0.28
  37397  393849 20250526 113149    5.02   13.76   16.21   8.20 7.72      93   37.03    4022   28.79   16273    0.51    0.31
  37397  393849 20250526 113336    6.00   12.69   16.20   8.18 7.17      87   37.30    4053   29.04   16418    0.34    0.26
  37397  393849 20250526 113451    7.01   11.40   16.22   8.16 6.70      81   37.62    4085   29.30   16564    0.30    0.32
  37397  393849 20250526 113558    7.98   11.03   16.35   8.15 6.26      76   38.08    4123   29.60   16739    0.32    0.48
  37397  393849 20250526 113647    8.99   10.10   16.40   8.14 6.04      74   38.21    4133   29.68   16784    0.32    0.37
  37397  393849 20250526 113718    9.99    9.20   16.41   8.14 5.92      72   38.27    4139   29.73   16811    0.32    0.31
  37397  393849 20250526 113747   11.02    8.08   16.37   8.14 5.83      71   38.27    4142   29.75   16828    0.26    0.40
  37397  393849 20250526 113816   12.07    7.20   16.37   8.14 5.79      71   38.29    4144   29.76   16832    0.26    0.43
  37397  393849 20250526 113857   12.99    6.13   16.27   8.13 5.66      69   38.21    4146   29.78   16842    0.27    0.34
  37397  393849 20250526 114021   14.03    4.93   15.91   8.10 5.13      62   37.87    4141   29.74   16823    0.32    0.56
  37397  393849 20250526 114047   14.99    3.86   14.84   8.09 4.79      57   37.10    4157   29.87   16902    0.29    0.88
  37397  393849 20250526 114229   16.02    2.76   13.38   8.04 3.40      39   35.36    4099   29.42   16643    0.26    1.14
  37397  393849 20250526 114253   16.98    1.55   13.31   8.04 3.35      38   35.25    4093   29.37   16615    0.25    1.17
  37397  393849 20250526 114356   18.04    0.00   13.10   8.04 3.25      37   35.04    4089   29.34   16597    0.21    1.17
