# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 26-05-2025 08:58:55
#X: 49200 - Y: 395850
#06 PROJECTCODE: VTS
#00 DONARLOCATIE: VTS-17
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
#21 MEETGEBIED: VEERSE MEER
#22 STARTPUNT: VTS-17
#23 EINDPUNT: VTS-1
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXRWMVSGN
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1016>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <7>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU
  49200  395850 20250526 85905    0.99   10.14   16.09   8.08 7.84      95   36.90    4020   28.78   16263    0.67    0.84
  49200  395850 20250526 85927    2.00    9.25   16.08   8.08 7.85      95   37.03    4035   28.90   16332    0.62    0.86
  49200  395850 20250526 85943    3.02    8.09   16.08   8.08 7.85      95   37.13    4045   28.98   16381    0.67    0.97
  49200  395850 20250526 85958    3.99    7.03   16.07   8.08 7.85      95   37.18    4051   29.03   16409    0.58    0.88
  49200  395850 20250526 90014    5.01    6.01   16.00   8.08 7.82      94   37.40    4081   29.27   16548    0.54    0.86
  49200  395850 20250526 90059    6.03    4.88   16.08   8.06 7.43      90   37.73    4110   29.50   16681    0.45    1.02
  49200  395850 20250526 90134    7.01    4.37   16.06   8.07 7.34      89   38.08    4151   29.82   16869    0.43    1.04
  49200  395850 20250526 90204    8.02    3.40   15.97   8.08 7.44      90   38.17    4169   29.97   16953    0.47    1.26
  49200  395850 20250526 90225    8.99    2.39   15.93   8.08 7.50      91   38.26    4182   30.07   17012    0.52    1.19
  49200  395850 20250526 90248   10.01    1.49   15.89   8.09 7.56      92   38.33    4194   30.17   17068    0.40    1.42
  49200  395850 20250526 90306   10.97    0.75   15.88   8.09 7.54      91   38.37    4199   30.21   17093    0.34    1.49
