X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51,54615;3,806751667;20250623;102634;0,94;21,79;8,1;95,16;6,99;16992,32;-0,6;30,08;4184,82;1,2;1,81;43,44;0
51,54609833;3,806508333;20250623;102656;2,02;21,77;8,09;94,32;6,93;16990,5;-0,64;30,08;4184,41;1,26;2,33;43,43;2,9
51,54609167;3,806325;20250623;102727;3,06;21,78;8,1;94,49;6,95;16992,45;-0,64;30,08;4184,83;1,22;2,18;43,43;7,22
51,54610833;3,806293333;20250623;102748;4,04;21,79;8,1;94,62;6,95;16997,76;-0,75;30,09;4185,99;1,4;1,89;43,46;6,91
51,54614167;3,806243333;20250623;102806;5,09;21,79;8,1;94,52;6,95;16999,95;-0,7;30,09;4186,46;1,29;1,92;43,46;5,19
51,54619167;3,806253333;20250623;102828;6,1;21,79;8,1;94,6;6,95;17002,18;-0,67;30,1;4186,95;1,15;2,01;43,46;0,69
51,546225;3,806306667;20250623;102844;7;21,77;8,1;94,41;6,94;17014,89;-0,69;30,12;4189,67;1,21;2,17;43,48;4,65
51,54623;3,806325;20250623;102901;8,05;21,69;8,09;93,32;6,87;17055,92;-0,78;30,19;4198,42;1,23;1,68;43,49;3,51
51,54623167;3,806296667;20250623;102923;9,06;21,24;8,05;86,69;6,42;17203,55;-0,76;30,44;4229,68;1,63;1,15;43,41;2,67
51,54622667;3,80626;20250623;102941;10,09;21,09;8,03;84,19;6,25;17235,8;-0,73;30,5;4236,44;1,51;1,09;43,34;0,06
