# VERTIKAAL 20 M.C.ECOS 8 VERTIKAAL
* 02-04-2024 14:26:31
#X: 86073 - Y: 411541
#00 DONARLOCATIE: ZTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par20.dat
## TLU        oC <-->
## LUCHTDK    hPa <1006>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  86073  411541 20240402 142639    1.07   12.76   10.17   8.14 10.5      95    0.53      66    0.36     110    1.54    2.91    0.00
  86082  411538 20240402 142715    1.97   11.68   10.18   8.15 10.5      95    0.53      66    0.36     110    1.63    2.86    0.00
  86072  411542 20240402 142758    2.93   10.80   10.17   8.15 10.5      95    0.53      66    0.36     110    1.61    2.65    0.00
  86075  411554 20240402 142829    3.95    9.45   10.17   8.15 10.5      95    0.53      66    0.36     110    1.52    2.79    0.00
  86073  411560 20240402 142849    5.04    8.16   10.17   8.14 10.5      95    0.53      66    0.36     111    1.48    2.78    0.00
  86072  411550 20240402 142904    5.93    7.85   10.17   8.14 10.5      95    0.53      66    0.36     110    1.52    3.00    0.00
  86064  411538 20240402 142927    7.03    5.41   10.17   8.15 10.5      95    0.53      66    0.36     110    1.58    2.77    0.00
  86068  411541 20240402 142946    7.97    5.24   10.17   8.14 10.5      95    0.53      66    0.36     110    1.52    2.71    0.00
  86069  411536 20240402 143003    8.99    3.74   10.18   8.15 10.5      95    0.53      66    0.36     111    1.58    2.94    0.00
  86073  411532 20240402 143026    9.96    2.49   10.19   8.15 10.5      95    0.53      66    0.36     111    1.58    3.42    0.00
  86077  411539 20240402 143049   11.05    2.18   10.19   8.15 10.5      95    0.53      66    0.36     111    1.63    3.20    0.00
  86080  411543 20240402 143104   12.04    1.45   10.19   8.15 10.5      95    0.53      66    0.36     111    1.53    2.94    0.00
  86078  411542 20240402 143119   12.91    0.00   10.19   8.15 10.5      95    0.53      66    0.36     111    1.64    2.88    0.00
