# VERTIKAAL 12 M.C.ECOS 8 VERTIKAAL
* 02-04-2024 11:32:14
#X: 74391 - Y: 387960
#00 DONARLOCATIE: OESTDM
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par11.dat
## TLU        oC <-->
## LUCHTDK    hPa <1003>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <6>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  74391  387960 20240402 113228    1.04   16.16   10.05   8.20 10.6      96    1.02     128    0.72     294    1.31    2.12    0.00
  74368  387959 20240402 113307    2.06   14.50   10.06   8.20 10.6      96    1.02     128    0.72     294    1.31    2.16    0.00
  74363  387957 20240402 113329    3.03   13.45   10.06   8.20 10.6      96    1.02     128    0.72     293    1.27    2.34    0.00
  74361  387959 20240402 113346    4.03   12.53   10.06   8.20 10.6      96    1.02     128    0.72     294    1.32    2.32    0.00
  74375  387965 20240402 113404    5.01   11.60   10.06   8.20 10.6      96    1.02     128    0.72     294    1.31    2.31    0.00
  74366  387967 20240402 113418    6.03   10.66   10.04   8.20 10.6      96    1.02     128    0.72     295    1.41    2.13    0.00
  74365  387971 20240402 113432    7.02    9.59   10.03   8.20 10.6      96    1.02     128    0.72     295    1.30    2.06    0.00
  74373  387974 20240402 113453    8.10    8.55   10.03   8.20 10.6      96    1.02     128    0.72     295    1.29    2.20    0.00
  74376  387980 20240402 113538    9.03    7.69   10.03   8.21 10.6      96    1.02     129    0.72     296    1.36    2.33    0.00
  74378  387978 20240402 113600   10.03    6.73   10.00   8.21 10.6      96    1.02     129    0.72     297    1.27    2.08    0.00
  74382  387980 20240402 113625   11.00    5.66   10.04   8.21 10.6      96    1.02     128    0.72     295    1.27    2.07    0.00
  74386  387984 20240402 113646   11.98    4.59   10.04   8.21 10.6      96    1.02     128    0.72     295    1.39    2.11    0.00
  74387  387990 20240402 113711   12.98    3.28   10.05   8.20 10.6      96    1.02     129    0.72     295    1.30    2.29    0.00
  74385  387986 20240402 113730   13.99    2.63   10.05   8.21 10.6      96    1.02     129    0.72     296    1.30    2.35    0.00
  74388  387981 20240402 113751   14.81    2.34   10.00   8.21 10.6      96    1.03     129    0.73     298    1.29    2.03    0.00
  74387  387980 20240402 113817   15.87    1.10    9.99   8.20 10.6      96    1.05     132    0.74     306    1.23    2.22    0.00
