# VERTIKAAL 11 M.C.ECOS 8 VERTIKAAL
* 02-04-2024 11:15:46
#X: 74423 - Y: 387952
#00 DONARLOCATIE: OESTDM
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par11.dat
## TLU        oC <-->
## LUCHTDK    hPa <1003>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <6>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  74423  387952 20240402 111554    1.06   15.83   10.04   8.21 10.6      96    1.02     128    0.72     295    1.33    2.23    0.00
  74415  387956 20240402 111616    1.89   15.25   10.05   8.21 10.6      96    1.02     128    0.72     295    1.29    2.40    0.00
  74406  387961 20240402 111639    2.99   14.11   10.05   8.21 10.6      96    1.02     128    0.72     295    1.30    2.33    0.00
  74402  387963 20240402 111656    3.99   13.13   10.05   8.21 10.6      96    1.02     128    0.72     295    1.29    2.18    0.00
  74396  387970 20240402 111715    4.92   12.39   10.05   8.21 10.6      96    1.02     128    0.72     295    1.29    2.28    0.00
  74393  387972 20240402 111741    6.05   11.13   10.03   8.21 10.6      96    1.02     128    0.72     295    1.34    2.25    0.00
  74389  387978 20240402 111758    7.03   10.05   10.03   8.21 10.6      96    1.02     128    0.72     295    1.33    2.11    0.00
  74386  387978 20240402 111813    8.02    9.10   10.02   8.21 10.6      96    1.02     129    0.72     296    1.24    2.14    0.00
  74380  387978 20240402 111832    9.10    7.71   10.02   8.21 10.6      96    1.02     129    0.72     295    1.30    2.16    0.00
  74376  387980 20240402 111849    9.98    6.38   10.02   8.21 10.6      96    1.02     129    0.72     295    1.29    2.20    0.00
  74376  387978 20240402 111906   11.04    5.34   10.01   8.21 10.6      96    1.02     129    0.72     296    1.36    2.08    0.00
  74377  387980 20240402 111920   12.05    4.91   10.00   8.21 10.6      96    1.02     129    0.72     296    1.27    2.10    0.00
  74385  387972 20240402 111945   13.02    4.21   10.01   8.21 10.6      96    1.02     129    0.72     296    1.33    2.28    0.00
  74393  387967 20240402 112002   14.06    3.03   10.00   8.21 10.6      96    1.02     129    0.72     296    1.24    2.13    0.00
  74396  387967 20240402 112016   14.99    1.95   10.00   8.21 10.6      96    1.02     129    0.72     296    1.28    2.55    0.00
  74398  387974 20240402 112037   16.14    0.00   10.00   8.20 10.6      96    1.06     133    0.75     311    1.23    2.28    0.00
