# VERTIKAAL 2 M.C.ECOS 8 VERTIKAAL
* 02-05-2024 07:37:11
#X: 71475 - Y: 409573
#00 DONARLOCATIE: ZTS-16
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par2.dat
## TLU        oC <-->
## LUCHTDK    hPa <999>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  71475  409573 20240502 73729    1.00    0.99   14.65   8.48 10.7     108    1.16     130    0.73     301    0.82    0.92   -0.57
  71529  409546 20240502 73752    2.00    2.01   14.39   8.45 10.7     107    1.17     132    0.74     309    0.83    0.87   -0.53
  71580  409528 20240502 73833    3.03    3.03   14.25   8.38 10.5     105    1.18     134    0.75     313    0.85    0.81   -0.59
  71609  409520 20240502 73921    3.94    3.94   13.80   8.33 10.3     102    1.26     145    0.82     353    0.85    0.74   -0.64
  71618  409514 20240502 73946    5.16    5.16   12.64   8.30 10.3      99    1.16     136    0.77     323    0.85    0.83   -0.55
  71629  409512 20240502 74025    6.04    6.03   12.32   8.26 10.1      96    1.16     138    0.77     326    0.93    0.95   -0.58
  71635  409511 20240502 74050    6.98    6.97   12.16   8.25 10.0      95    1.19     142    0.80     343    0.99    0.74   -0.53
  71644  409510 20240502 74137    8.01    8.02   12.53   8.27 10.1      97    1.42     168    0.95     431    0.86    0.96   -0.58
  71647  409511 20240502 74201    9.02    9.03   12.48   8.27 10.1      97    1.46     173    0.98     450    0.83    0.89   -0.60
  71641  409513 20240502 74224    9.93    9.94   12.31   8.27 10.1      97    1.50     178    1.01     466    0.75    0.89   -0.63
  71640  409513 20240502 74242   11.07   11.06   12.28   8.27 10.1      97    1.51     180    1.02     472    0.85    0.83   -0.61
  71635  409509 20240502 74326   12.09   12.11   12.03   8.25 10.0      95    1.62     193    1.11     520    0.74    0.86   -0.60
  71628  409509 20240502 74405   12.94   12.95   11.61   8.21 9.83      92    1.58     191    1.09     512    0.75    0.96   -0.60
  71637  409512 20240502 74446   14.01   14.01   11.54   8.20 9.71      91    1.65     200    1.15     544    0.79    1.13   -0.63
  71650  409522 20240502 74545   14.94   14.97   11.33   8.15 9.39      88    1.71     208    1.20     571    0.74    1.33   -0.68
  71651  409528 20240502 74623   16.05   16.08   11.25   8.12 9.15      85    1.72     209    1.20     575    0.79    1.40   -0.63
  71651  409525 20240502 74642   17.13   17.12   11.28   8.13 9.12      85    1.73     211    1.21     581    0.80    1.39   -0.55
  71649  409530 20240502 74719   18.04   18.09   11.22   8.12 9.03      84    1.74     212    1.22     585    0.80    1.55   -0.59
  71649  409535 20240502 74739   19.00   19.01   11.20   8.12 9.03      84    1.75     214    1.23     591    0.81    1.49   -0.56
  71651  409535 20240502 74823   20.05   20.03   11.23   8.10 8.85      82    1.77     216    1.24     599    0.74    1.65   -0.51
