# VERTIKAAL 4 M.C.ECOS 8 VERTIKAAL
* 31-05-2024 09:18:09
#X: 71533 - Y: 392038
#00 DONARLOCATIE: ZTS-34
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hofman
@ par4.dat
## TLU        oC <-->
## LUCHTDK    hPa <1011>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  71533  392038 20240531 91818    1.08    1.09   16.90   8.16 8.90      93    1.24     132    0.74     308    0.85    1.20   -0.60
  71522  392055 20240531 91838    2.02    2.04   16.91   8.17 8.90      93    1.24     132    0.74     309    0.88    1.31   -0.63
  71517  392057 20240531 91857    2.95    2.96   16.91   8.17 8.95      93    1.24     133    0.74     309    0.85    1.36   -0.56
  71511  392061 20240531 91915    4.12    4.14   16.90   8.17 8.95      93    1.24     133    0.74     310    0.84    1.24   -0.58
  71511  392064 20240531 91936    5.07    5.08   16.89   8.19 8.96      93    1.25     134    0.75     313    0.84    1.23   -0.57
  71515  392067 20240531 92001    6.05    6.06   16.81   8.22 8.99      93    1.28     137    0.77     324    0.80    1.11   -0.59
  71521  392076 20240531 92024    7.10    7.10   16.73   8.23 8.91      92    1.30     139    0.78     333    0.78    1.20   -0.63
  71521  392068 20240531 92115    7.96    7.96   16.41   8.16 8.51      88    1.34     145    0.81     351    0.84    1.23   -0.59
  71512  392058 20240531 92245    9.14    9.17   15.45   7.92 7.31      74    1.34     148    0.83     361    0.82    1.60   -0.68
  71513  392045 20240531 92344    9.95    9.96   13.96   7.81 6.43      63    1.46     167    0.95     428    0.77    1.37   -0.60
  71520  392041 20240531 92414   11.08   11.09   14.20   7.84 6.57      65    1.84     209    1.20     575    0.79    1.29   -0.60
  71521  392053 20240531 92540   12.06   12.05   13.84   7.78 6.01      59    2.10     240    1.39     684    0.83    1.31   -0.62
  71515  392057 20240531 92616   13.08   13.08   13.83   7.77 5.92      58    2.24     257    1.49     743    0.74    1.55   -0.55
  71512  392060 20240531 92705   13.94   13.96   13.84   7.78 5.85      57    2.55     292    1.70     848    0.88    1.41   -0.52
  71515  392064 20240531 92757   15.06   15.05   13.60   7.73 5.25      51    2.64     304    1.78     891    0.81    1.45   -0.54
  71516  392062 20240531 92932   16.01   16.01   13.33   7.62 3.78      37    2.78     323    1.90     956    0.75    2.04   -0.62
  71513  392052 20240531 93122   17.06   17.05   13.27   7.57 2.87      28    2.96     344    2.03    1028    0.78    2.45   -0.72
