# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 30-05-2024 10:13:01
#X: 76122 - Y: 406438
#00 DONARLOCATIE: STEENBGN
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1007>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <6>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  76122  406438 20240530 101309    1.01    1.01   17.64   8.09 8.66      92    1.00     105    0.58     221    0.95    1.22   -0.47
  76143  406438 20240530 101400    1.96    1.95   17.64   8.08 8.65      92    1.00     105    0.58     221    0.91    1.09   -0.60
  76172  406442 20240530 101440    3.00    3.01   17.62   8.08 8.65      92    0.99     105    0.58     220    0.89    1.26   -0.63
  76183  406446 20240530 101458    3.93    3.95   17.61   8.07 8.62      91    0.99     104    0.58     219    0.83    1.23   -0.53
  76182  406440 20240530 101513    5.02    5.03   17.62   8.07 8.61      91    0.99     104    0.58     219    0.91    1.23   -0.63
  76187  406439 20240530 101536    6.00    5.99   17.61   8.08 8.62      91    0.99     104    0.58     219    0.89    1.14   -0.58
  76179  406431 20240530 101559    7.06    7.05   17.61   8.06 8.58      91    0.99     104    0.57     217    0.86    1.21   -0.56
  76168  406420 20240530 101618    7.71    7.71   17.62   8.07 8.60      91    1.00     105    0.58     220    0.92    1.23   -0.56
  76133  406410 20240530 101650    8.02    8.04   17.61   8.08 8.60      91    0.99     105    0.58     219    0.84    1.18   -0.61
  76119  406406 20240530 101718    9.04    9.06   17.62   8.08 8.57      91    1.00     105    0.58     221    0.92    1.46   -0.68
  76105  406402 20240530 101740   10.07   10.12   17.64   8.07 8.55      90    1.01     107    0.59     226    0.78    1.80   -0.58
  76086  406399 20240530 101811   11.03   11.02   17.63   8.07 8.47      90    1.06     111    0.62     242    0.85    1.90   -0.65
