# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 31-05-2024 11:14:54
#X: 71718 - Y: 409460
#00 DONARLOCATIE: ZTS-16
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hofman
@ par8.dat
## TLU        oC <-->
## LUCHTDK    hPa <1011>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  71718  409460 20240531 111503    0.98    0.98   17.49   8.17 8.75      92    1.33     140    0.78     335    0.85    1.00   -0.59
  71721  409466 20240531 111524    2.05    2.09   17.36   8.19 8.75      92    1.35     143    0.80     345    0.85    1.02   -0.58
  71719  409472 20240531 111555    2.99    2.99   17.31   8.23 8.92      94    1.42     150    0.84     370    0.85    0.75   -0.60
  71720  409475 20240531 111617    4.02    4.02   17.29   8.23 8.92      94    1.42     150    0.84     370    0.87    0.84   -0.63
  71721  409481 20240531 111637    5.05    5.06   17.27   8.24 8.92      94    1.42     150    0.84     370    0.89    0.89   -0.61
  71722  409490 20240531 111653    6.11    6.11   17.25   8.24 8.93      94    1.42     151    0.85     373    0.78    0.74   -0.56
  71716  409494 20240531 111715    7.07    7.06   17.22   8.24 8.92      93    1.43     152    0.85     375    0.77    0.86   -0.57
  71704  409496 20240531 111743    7.97    7.95   17.19   8.24 8.89      93    1.44     153    0.86     380    0.79    0.81   -0.52
  71700  409495 20240531 111809    8.95    8.95   17.15   8.22 8.83      92    1.46     155    0.87     386    0.70    0.85   -0.64
  71689  409488 20240531 111841   10.03   10.07   17.02   8.19 8.57      89    1.48     158    0.89     398    0.70    1.43   -0.60
  71682  409477 20240531 111933   10.98   10.99   16.60   8.04 7.51      78    1.88     202    1.15     550    0.75    1.50   -0.51
  71672  409473 20240531 112028   11.95   11.95   16.13   7.98 7.09      73    2.00     217    1.25     604    0.75    1.30   -0.69
  71658  409479 20240531 112144   13.09   13.11   14.87   7.90 6.40      64    1.93     216    1.24     599    0.72    1.33   -0.58
  71664  409484 20240531 112251   14.02   14.02   13.45   7.79 5.50      53    1.82     210    1.21     579    0.72    2.21   -0.58
  71666  409494 20240531 112436   15.12   15.15   12.49   7.70 4.53      43    1.76     209    1.20     574    0.76    1.77   -0.67
  71684  409496 20240531 112533   16.02   16.02   12.16   7.67 3.96      37    1.76     210    1.20     576    0.76    1.77   -0.68
  71686  409482 20240531 112634   17.01   17.00   11.97   7.64 3.30      31    1.76     211    1.21     580    0.76    1.55   -0.67
  71687  409471 20240531 112721   17.99   17.97   11.96   7.63 3.15      29    1.76     211    1.21     581    0.78    1.63   -0.62
  71687  409466 20240531 112802   18.94   18.97   11.93   7.63 3.02      28    1.76     211    1.21     581    0.81    1.76   -0.61
