# VERTIKAAL 17 M.C.ECOS 8 VERTIKAAL
* 27-06-2024 13:45:48
#X: 75771 - Y: 406462
#00 DONARLOCATIE: STEENBGN
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par16.dat
## TLU        oC <-->
## LUCHTDK    hPa <1009>
## WINDSHD    m/s <9999.9>
## WINDRTG    gradn <279>
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  75771  406462 20240627 134602    1.01    1.02   22.49   9.04 15.0     175    1.06     100    0.55     206    7.06    1.90    0.38
  75815  406438 20240627 134659    2.04    2.03   21.74   8.87 13.7     157    1.04     100    0.55     206    5.94    1.79    0.10
  75785  406461 20240627 134842    3.09    3.06   21.12   8.68 11.9     135    1.03     100    0.55     206    4.36    1.54   -0.20
  75785  406459 20240627 135039    4.01    4.04   20.91   8.65 11.3     128    1.05     103    0.57     214    4.27    1.42   -0.17
  75760  406449 20240627 135203    4.99    4.97   20.27   8.39 9.93     111    1.04     104    0.57     216    2.90    1.33   -0.40
  75767  406438 20240627 135328    6.08    6.09   19.26   8.06 8.19      90    1.20     122    0.68     277    1.39    0.74   -0.72
  75759  406439 20240627 135405    6.98    6.98   18.96   8.04 7.95      86    1.29     132    0.74     309    1.40    0.67   -0.66
  75763  406432 20240627 135435    7.95    7.96   18.27   8.01 7.80      84    1.46     152    0.85     374    1.05    0.79   -0.69
  75754  406428 20240627 135449    9.02    9.01   18.09   8.03 7.78      83    1.57     164    0.92     416    0.95    0.80   -0.63
  75752  406433 20240627 135536   10.05   10.09   17.86   8.02 7.46      79    1.64     172    0.97     446    0.85    0.64   -0.74
