# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 28-06-2024 08:23:25
#X: 70433 - Y: 410166
#00 DONARLOCATIE: ZTS-16
#01 MEETPUNT: 1
#08 WAARNEMER(S): beukers
@ par5.dat
## TLU        oC <16.0->
## LUCHTDK    hPa <1012>
## WINDSHD    m/s <4.0>
## WINDRTG    gradn <225>
## BEWKGD     /8 <3>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  70433  410166 20240628 82420    1.09    1.09   19.56   8.61 10.3     114    1.37     138    0.77     328    1.80    0.00   -0.47
  70412  410170 20240628 82436    2.28    2.29   19.56   8.60 10.3     113    1.37     138    0.77     329    1.66    0.00   -0.47
  70410  410171 20240628 82455    2.98    2.98   19.53   8.58 10.3     113    1.37     138    0.77     330    1.96    0.00   -0.39
  70397  410179 20240628 82547    3.95    3.96   19.36   8.54 9.95     109    1.38     139    0.78     333    1.76    0.00   -0.51
  70394  410189 20240628 82634    5.20    5.21   18.94   8.40 9.36     101    1.38     141    0.79     340    1.43    0.00   -0.47
  70396  410192 20240628 82714    6.27    6.28   18.87   8.37 9.21     100    1.39     142    0.79     342    1.61    0.00   -0.45
  70399  410195 20240628 82751    7.04    7.06   18.75   8.31 9.01      97    1.47     151    0.85     373    1.58    0.00   -0.44
  70407  410202 20240628 82847    8.06    8.07   18.50   8.13 7.67      82    1.45     150    0.84     369    1.49    0.00   -0.51
  70417  410205 20240628 82929    9.14    9.17   18.42   8.22 8.59      92    1.66     172    0.97     446    1.44    0.00   -0.52
  70447  410207 20240628 83041   10.24   10.26   17.76   8.03 7.61      81    1.73     182    1.03     478    1.34    0.00   -0.43
