# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 25-07-2024 10:53:11
#X: 75750 - Y: 406440
#00 DONARLOCATIE: STEENBGN
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1015>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  75750  406440 20240725 105319    1.04    7.45   21.52   8.83 11.0     126    1.16     112    0.62     244    1.68    0.00    1.54
  75750  406440 20240725 105359    2.06    5.24   21.46   8.82 10.9     124    1.16     112    0.62     244    1.76    0.00    1.23
  75750  406440 20240725 105735    3.10    7.85   21.49   8.87 11.5     131    1.18     114    0.63     250    2.15    0.00    3.77
  75750  406440 20240725 105750    4.04    6.98   21.49   8.88 11.5     131    1.18     114    0.63     250    2.21    0.00    2.13
  75750  406440 20240725 105818    5.05    6.03   21.44   8.86 11.3     128    1.17     114    0.63     250    1.94    0.00    2.11
  75750  406440 20240725 105936    6.07    4.89   21.36   8.80 10.6     121    1.16     113    0.63     247    1.75    0.00    0.92
  75750  406440 20240725 110011    6.98    4.25   21.22   8.73 10.1     115    1.15     112    0.62     244    1.42    0.00    0.02
  75750  406440 20240725 110055    7.96    3.59   21.04   8.66 9.27     104    1.16     114    0.63     249    1.25    0.00   -0.38
  75750  406440 20240725 110210    9.01    3.11   20.79   8.53 8.48      95    1.25     123    0.68     279    1.28    0.00   -0.36
  75750  406440 20240725 110249    9.99    0.00   20.67   8.45 8.33      93    1.33     131    0.73     305    1.24    0.00   -0.29
  75750  406440 20240725 110346   11.03    1.08   20.53   8.35 7.78      87    1.45     143    0.80     346    1.09    0.00   -0.42
