# VERTIKAAL 9 M.C.ECOS 8 VERTIKAAL
* 25-07-2024 12:58:41
#X: 74400 - Y: 387850
#00 DONARLOCATIE: OESTDM
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par9.dat
## TLU        oC <-->
## LUCHTDK    hPa <1013>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  74400  387850 20240725 125849    1.02    7.84   21.81   8.70 9.92     114    1.42     137    0.76     324    0.87    0.00    0.38
  74400  387850 20240725 125957    2.01    7.84   21.81   8.71 9.98     114    1.42     137    0.76     324    0.88    0.00    0.18
  74400  387850 20240725 130116    3.05    7.84   21.80   8.71 9.99     114    1.42     137    0.76     325    0.90    0.00    0.30
  74400  387850 20240725 130440    4.03    7.84   21.81   8.70 9.90     113    1.42     137    0.76     324    0.92    0.00    0.17
  74400  387850 20240725 130530    4.96    7.84   21.80   8.70 9.90     113    1.42     137    0.76     323    0.91    0.00    0.22
  74400  387850 20240725 130555    6.00    7.84   21.80   8.70 9.92     114    1.42     137    0.76     324    0.87    0.00    0.14
  74400  387850 20240725 130609    7.09    7.84   21.80   8.70 9.91     113    1.42     137    0.76     324    0.86    0.00    0.09
  74400  387850 20240725 130643    8.05    7.84   21.80   8.71 9.99     114    1.42     137    0.76     324    0.84    0.00    0.12
  74400  387850 20240725 130709    9.05    7.84   21.77   8.71 10.0     115    1.43     137    0.77     326    0.89    0.00    0.08
  74400  387850 20240725 130739   10.21    7.84   21.72   8.72 10.1     115    1.43     138    0.77     328    0.92    0.00    0.07
  74400  387850 20240725 130813   11.06    7.84   21.56   8.68 9.80     112    1.45     140    0.78     335    0.85    0.00   -0.21
  74400  387850 20240725 130902   12.00    7.84   21.35   8.54 8.83     100    1.48     144    0.81     349    0.85    0.00   -0.25
  74400  387850 20240725 131006   12.88    7.84   21.25   8.47 8.39      95    1.50     146    0.82     357    0.80    0.00   -0.56
