# VERTIKAAL 3 M.C.ECOS 8 VERTIKAAL
* 25-07-2024 09:37:18
#X: 86060 - Y: 411520
#00 DONARLOCATIE: ZTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1016>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  86060  411520 20240725 93726    1.04   11.88   21.46   8.65 10.6     121    0.75      72    0.39     127    1.97    0.00    0.37
  86060  411520 20240725 93751    2.09    9.44   21.45   8.66 10.7     122    0.75      72    0.39     126    1.83    0.00    0.43
  86060  411520 20240725 93821    3.03    9.61   21.46   8.65 10.7     121    0.75      72    0.39     126    1.85    0.00    0.30
     --      -- 20240725 93857    3.05   10.06   21.44   8.63 10.5     119    0.75      72    0.39     127    1.63    0.00   -0.13
     --      -- 20240725 93926    3.98    9.36   21.42   8.55 9.72     110    0.75      73    0.39     127    1.68    0.00   -0.22
     --      -- 20240725 94038    5.02    7.26   21.13   8.37 8.73      98    0.76      74    0.40     130    1.31    0.00   -0.37
     --      -- 20240725 94108    6.04    6.20   21.05   8.32 8.65      97    0.77      76    0.41     135    1.28    0.00   -0.50
     --      -- 20240725 94132    6.97    5.31   20.98   8.31 8.64      97    0.79      78    0.42     140    1.09    0.00   -0.47
     --      -- 20240725 94231    8.02    4.40   20.86   8.26 8.26      92    0.80      78    0.43     142    1.14    0.00   -0.55
     --      -- 20240725 94309    9.01    3.68   20.21   7.94 6.85      76    0.75      75    0.41     133    1.11    0.00   -0.57
     --      -- 20240725 94359   10.07    2.83   20.16   7.85 5.59      62    0.75      74    0.40     132    1.21    0.00   -0.64
     --      -- 20240725 94503   11.07    1.76   19.98   7.77 5.53      61    0.74      74    0.40     132    1.42    0.00   -0.56
     --      -- 20240725 94538   12.08    1.50   19.42   7.64 4.63      50    0.74      75    0.41     133    0.93    0.00   -0.56
