# VERTIKAAL 8 M.C.ECOS 6 VERTIKAAL
* 12-12-2024 14:09:02
#X: 72700 - Y: 391000
#00 DONARLOCATIE: ZTS-32
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par7.dat
## TLU        oC <-->
## LUCHTDK    hPa <1032>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  72700  391000 20241212 140937    0.99   16.58    6.50   8.18    1.00     138    0.78     328    0.82    1.77    0.32
  72700  391000 20241212 140943    1.96   15.69    6.50   8.18    1.01     138    0.78     329    0.80    1.71    0.16
  72700  391000 20241212 140945    2.97   14.76    6.50   8.17    1.01     139    0.79     331    0.67    1.70    0.24
  72700  391000 20241212 140948    4.01   13.69    6.50   8.17    1.02     140    0.79     334    0.70    1.60    0.29
  72700  391000 20241212 140950    4.94   10.55    6.51   8.17    1.03     141    0.80     339    0.76    1.53    0.36
  72700  391000 20241212 140952    5.88   11.86    6.53   8.17    1.04     142    0.81     343    0.62    1.54    0.08
  72700  391000 20241212 140955    6.97   10.71    6.55   8.17    1.05     144    0.82     348    0.73    1.48    0.39
  72700  391000 20241212 140957    7.92    4.16    6.55   8.17    1.05     144    0.82     350    0.62    1.59    0.13
  72700  391000 20241212 141000    8.91    9.11    6.52   8.18    1.06     145    0.83     353    0.62    1.51    0.31
  72700  391000 20241212 141003    9.99    8.16    6.52   8.18    1.07     147    0.83     358    0.69    1.48    0.03
  72700  391000 20241212 141005   10.91    7.61    6.56   8.18    1.08     149    0.85     365    0.56    1.43    0.20
  72700  391000 20241212 141007   11.92    6.19    6.61   8.18    1.10     151    0.86     371    0.66    1.32    0.19
  72700  391000 20241212 141008   13.00    5.70    6.61   8.18    1.10     151    0.86     373    0.53    1.42    0.17
  72700  391000 20241212 141010   13.92    4.86    6.63   8.18    1.11     152    0.86     375    0.56    1.46    0.00
  72700  391000 20241212 141018   14.96    3.68    6.75   8.17    1.14     156    0.89     391    0.61    1.43    0.25
  72700  391000 20241212 141023   15.96    2.94    6.81   8.17    1.16     158    0.90     398    0.50    1.33    0.25
  72700  391000 20241212 141026   16.97    1.80    6.85   8.17    1.17     160    0.91     403    0.58    1.43    0.15
  72700  391000 20241212 141029   17.96    0.80    6.89   8.17    1.18     161    0.92     406    0.42    1.37    0.18
