# VERTIKAAL 2 M.C.ECOS 6 VERTIKAAL
* 12-12-2024 11:53:51
#X: 83688 - Y: 408515
#00 DONARLOCATIE: ZTS-04
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par2.dat
## TLU        oC <-->
## LUCHTDK    hPa <1032>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  83688  408515 20241212 115356    1.08    9.61    6.47   8.04    0.62      85    0.47     160    0.85    3.62    0.34
  83688  408515 20241212 115402    1.94   10.59    6.47   8.04    0.62      85    0.47     161    0.90    3.64    0.19
  83688  408515 20241212 115404    2.94    9.50    6.47   8.03    0.62      85    0.47     161    0.89    3.65    0.20
  83688  408515 20241212 115407    3.98    8.21    6.47   8.04    0.62      85    0.47     161    1.02    3.52    0.17
  83688  408515 20241212 115409    4.90    7.19    6.46   8.04    0.62      85    0.47     161    0.95    3.53    0.20
  83688  408515 20241212 115411    5.92    3.79    6.46   8.04    0.62      85    0.47     162    0.85    3.48    0.15
  83688  408515 20241212 115414    6.95    2.45    6.46   8.04    0.62      85    0.47     162    0.93    3.46    0.15
  83688  408515 20241212 115419    7.92    2.06    6.45   8.05    0.63      86    0.48     165    0.93    3.62    0.24
  83688  408515 20241212 115422    8.89    2.10    6.45   8.05    0.63      87    0.48     167    0.78    3.51    0.31
  83688  408515 20241212 115425    9.97    0.91    6.45   8.06    0.63      87    0.48     167    0.82    3.45    0.14
