# VERTIKAAL 4 M.C.ECOS 6 VERTIKAAL
* 09-01-2025 09:25:36
#X: 83688 - Y: 408515
#00 DONARLOCATIE: ZTS-04
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par4.dat
## TLU        oC <-->
## LUCHTDK    hPa <1001>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <-->

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  83688  408515 20250109 92556    1.05      --    5.22   8.02    0.52      74    0.41     131    1.67    6.34    0.37
  83688  408515 20250109 92629    2.03      --    5.22   8.01    0.52      73    0.41     129    1.63    6.47    0.36
  83688  408515 20250109 92714    3.12      --    5.22   8.03    0.52      74    0.41     131    1.54    6.18    0.32
  83688  408515 20250109 92759    4.11      --    5.22   8.00    0.51      73    0.40     127    1.72    6.89    0.43
  83688  408515 20250109 92828    5.01      --    5.22   8.02    0.52      74    0.41     130    1.63    6.27    0.42
  83688  408515 20250109 92840    5.95      --    5.22   8.04    0.52      75    0.41     132    1.64    6.32    0.36
  83688  408515 20250109 92848    6.98      --    5.22   8.04    0.53      75    0.41     133    1.58    5.92    0.35
  83688  408515 20250109 92859    7.97      --    5.21   8.06    0.53      76    0.42     135    1.56    5.92    0.24
  83688  408515 20250109 92904    8.97      --    5.21   8.07    0.53      76    0.42     135    1.56    5.94    0.34
  83688  408515 20250109 92918   10.06      --    5.21   8.07    0.53      76    0.42     136    1.54    5.71    0.20
  83688  408515 20250109 92927   11.00      --    5.21   8.07    0.53      76    0.42     136    1.58    5.44    0.34
  83688  408515 20250109 92934   11.88      --    5.21   8.08    0.53      76    0.42     136    1.54    5.62    0.32
