# VERTIKAAL 1 M.C.ECOS 6 VERTIKAAL
* 10-01-2025 08:25:05
#X: 72700 - Y: 391000
#06 PROJECTCODE: ATS ZTS
#00 DONARLOCATIE: ZTS-32
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: VOLKERAK/ZOOMMEER
#22 STARTPUNT: krammer
#23 EINDPUNT: kreekrak
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXAXAMDBG
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1017>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <-->

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  72700  391000 20250110 82506    0.92      --    4.91   8.25    0.91     131    0.74     305    1.24    2.23    0.40
  72700  391000 20250110 82536    1.92      --    4.90   8.26    0.91     131    0.74     305    1.26    2.14    0.44
  72700  391000 20250110 82542    3.00      --    4.91   8.25    0.91     131    0.74     305    1.28    2.20    0.40
  72700  391000 20250110 82547    3.91      --    4.92   8.26    0.91     131    0.74     305    1.26    2.21    0.41
  72700  391000 20250110 82554    5.07      --    4.92   8.25    0.91     131    0.74     305    1.22    2.40    0.43
  72700  391000 20250110 82600    6.05      --    4.92   8.26    0.91     131    0.74     305    1.25    2.23    0.45
  72700  391000 20250110 82606    6.97      --    4.92   8.26    0.91     131    0.74     305    1.29    2.11    0.38
  72700  391000 20250110 82613    8.05      --    4.92   8.26    0.91     131    0.74     305    1.28    2.16    0.37
  72700  391000 20250110 82620    9.08      --    4.91   8.25    0.91     131    0.74     305    1.22    2.22    0.36
  72700  391000 20250110 82626    9.99      --    4.91   8.26    0.91     131    0.74     305    1.15    2.31    0.28
  72700  391000 20250110 82632   10.94      --    4.91   8.26    0.91     131    0.74     305    1.27    2.07    0.37
  72700  391000 20250110 82638   11.91      --    4.92   8.25    0.91     131    0.74     305    1.24    2.30    0.37
  72700  391000 20250110 82645   12.97      --    4.92   8.25    0.91     131    0.74     304    1.20    2.25    0.31
  72700  391000 20250110 82651   14.00      --    4.92   8.25    0.91     131    0.74     305    1.21    2.14    0.25
  72700  391000 20250110 82656   14.93      --    4.91   8.25    0.91     131    0.74     305    1.24    2.10    0.31
  72700  391000 20250110 82701   15.90      --    4.91   8.25    0.91     131    0.74     305    1.21    2.18    0.29
  72700  391000 20250110 82706   16.96      --    4.92   8.25    0.91     131    0.74     305    1.21    2.21    0.28
  72700  391000 20250110 82710   17.91      --    4.94   8.25    0.92     131    0.74     305    1.13    2.19    0.32
