# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 03-02-2025 13:38:05
#X: 37397 - Y: 393849
#00 DONARLOCATIE: VTS-08
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1027>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN
  37397  393849 20250203 133820    1.08   18.32    4.74   8.16 10.8      97   23.33    3364   23.71   13369    0.41    1.29
  37397  393849 20250203 133852    1.95   17.85    5.21   8.15 10.7      98   23.79    3388   23.88   13470    0.53    1.28
  37397  393849 20250203 133943    3.04    0.00    5.56   8.12 10.4      96   24.43    3447   24.34   13731    0.61    1.20
  37397  393849 20250203 134010    3.98   15.56    5.79   8.10 10.2      95   24.87    3487   24.64   13907    0.44    1.27
  37397  393849 20250203 134048    4.97   14.30    5.64   8.08 9.90      92   26.01    3662   26.01   14693    0.28    1.23
  37397  393849 20250203 134130    6.01   13.10    5.48   8.05 9.57      90   26.78    3786   26.98   15254    0.23    1.49
  37397  393849 20250203 134158    6.96   12.10    5.47   8.05 9.50      89   26.86    3798   27.08   15310    0.23    1.41
  37397  393849 20250203 134218    8.03   11.16    5.42   8.03 9.43      88   26.91    3811   27.17   15366    0.17    1.50
  37397  393849 20250203 134249    9.08   10.38    5.41   8.03 9.28      87   26.96    3818   27.24   15400    0.20    1.42
  37397  393849 20250203 134333   10.04    9.43    5.41   7.98 9.07      85   27.17    3849   27.47   15538    0.17    1.29
  37397  393849 20250203 134416   10.99    7.88    5.49   7.97 8.89      84   27.33    3864   27.59   15606    0.09    1.27
  37397  393849 20250203 134431   12.03    6.64    5.48   7.97 8.85      83   27.36    3868   27.63   15626    0.15    1.27
  37397  393849 20250203 134453   13.08    5.09    5.48   7.97 8.80      83   27.40    3874   27.67   15652    0.16    1.29
  37397  393849 20250203 134512   14.09    3.79    5.52   7.96 8.70      82   27.45    3878   27.70   15668    0.13    1.32
  37397  393849 20250203 134527   15.02    2.78    5.51   7.96 8.65      81   27.45    3878   27.70   15671    0.22    1.34
  37397  393849 20250203 134546   16.07    1.81    5.52   7.95 8.59      81   27.48    3880   27.72   15679    0.21    1.37
  37397  393849 20250203 134609   17.08    0.75    5.54   7.95 8.50      80   27.50    3881   27.72   15683    0.13    1.50
