# VERTIKAAL 1 M.C.ECOS 8 VERTIKAAL
* 07-02-2025 08:43:58
#X: 71500 - Y: 392060
#06 PROJECTCODE: ATS ZTS
#00 DONARLOCATIE: ZTS-34
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
#21 MEETGEBIED: VOLKERAK/ZOOMMEER
#22 STARTPUNT: krammer
#23 EINDPUNT: kreekrak
#51 OPDRACHTGEVER: ZLXXAXAMDBG
#52 BEHEERDER: ZLXXAXAMDBG
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1029>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <8>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHYCOUG
  71500  392060 20250207 84407    1.02   16.92    4.15   8.29 12.8      97    0.95     139    0.79     330    0.90    2.27   -0.55
  71500  392060 20250207 84429    1.98   17.67    4.14   8.29 12.8      97    0.95     139    0.79     330    0.91    2.31   -0.63
  71500  392060 20250207 84443    3.01    7.02    4.15   8.29 12.8      97    0.95     139    0.79     330    0.93    2.20   -0.59
  71500  392060 20250207 84501    4.00    6.58    4.15   8.29 12.8      97    0.95     139    0.79     330    0.94    2.25   -0.64
  71500  392060 20250207 84519    5.09   14.22    4.15   8.29 12.8      97    0.95     139    0.79     330    0.91    2.30   -0.64
  71500  392060 20250207 84533    6.06   13.80    4.15   8.29 12.8      97    0.95     139    0.79     330    0.93    2.18   -0.60
  71500  392060 20250207 84547    7.06   12.86    4.15   8.30 12.8      97    0.95     139    0.79     330    0.86    2.25   -0.67
  71500  392060 20250207 84602    8.06   11.95    4.15   8.30 12.8      97    0.95     139    0.79     331    0.91    2.17   -0.64
  71500  392060 20250207 84627    9.03   10.98    4.15   8.30 12.8      97    0.95     139    0.79     331    0.93    2.24   -0.60
  71500  392060 20250207 84640   10.02    9.89    4.15   8.30 12.8      97    0.95     139    0.79     331    1.01    2.17   -0.62
  71500  392060 20250207 84656   10.96    9.20    4.15   8.30 12.8      97    0.95     139    0.79     331    0.90    2.41   -0.59
  71500  392060 20250207 84712   12.08    8.12    4.14   8.30 12.8      97    0.95     139    0.79     331    0.97    2.32   -0.62
  71500  392060 20250207 84728   13.03    6.96    4.14   8.30 12.8      97    0.95     139    0.79     332    0.91    2.18   -0.56
  71500  392060 20250207 84741   14.05    5.99    4.14   8.29 12.8      97    0.95     139    0.79     333    0.97    2.30   -0.59
  71500  392060 20250207 84757   15.01    4.91    4.14   8.29 12.7      97    0.96     140    0.80     335    0.89    2.21   -0.56
  71500  392060 20250207 84811   16.01    4.07    4.15   8.28 12.7      97    0.99     145    0.83     352    0.90    2.26   -0.64
  71500  392060 20250207 84907   17.01    2.90    4.38   8.20 12.3      94    1.70     247    1.44     708    0.67    2.16   -0.63
  71500  392060 20250207 84959   17.95    2.11    4.49   8.18 11.8      91    2.06     299    1.77     874    0.64    2.12   -0.63
  71500  392060 20250207 85123   19.00    0.94    4.84   8.08 10.2      79    2.48     356    2.12    1072    0.63    2.12   -0.79
