# VERTIKAAL 4 M.C.ECOS 8 VERTIKAAL
* 06-03-2025 09:50:54
#X: 86060 - Y: 411520
#00 DONARLOCATIE: ZTS-01
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par4.dat
## TLU        oC <-->
## LUCHTDK    hPa <1018>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHYCOUG
  86060  411520 20250306 95103    0.99   13.03    6.82   8.23 11.9      97    0.56      77    0.42     137    0.93    3.18   11.85
  86060  411520 20250306 95138    2.03   11.90    6.84   8.23 11.8      97    0.56      76    0.42     137    0.89    3.20   11.84
  86060  411520 20250306 95214    2.92   10.70    6.75   8.26 12.1      99    0.59      81    0.45     149    0.84    2.74   12.05
  86060  411520 20250306 95240    4.05    7.88    6.73   8.28 12.2     100    0.61      83    0.46     155    0.82    2.57   12.16
  86060  411520 20250306 95308    5.05    6.54    6.55   8.27 12.3     100    0.62      85    0.47     160    0.78    2.32   12.24
  86060  411520 20250306 95339    6.00    6.18    6.49   8.23 12.1      98    0.63      86    0.48     165    0.85    3.02   12.05
  86060  411520 20250306 95355    6.95    5.55    6.46   8.22 12.0      98    0.63      87    0.48     167    0.76    3.15   12.00
  86060  411520 20250306 95421    8.04    4.86    6.42   8.21 11.9      97    0.64      88    0.49     169    0.78    3.29   11.92
  86060  411520 20250306 95435    9.01    4.26    6.40   8.21 11.9      97    0.64      88    0.49     169    0.77    3.25   11.90
  86060  411520 20250306 95448   10.10    3.45    6.39   8.21 11.9      97    0.64      88    0.49     169    0.81    3.09   11.89
  86060  411520 20250306 95503   11.04    2.36    6.33   8.21 11.9      96    0.64      88    0.49     171    0.76    3.21   11.86
  86060  411520 20250306 95544   12.07    1.35    6.00   8.18 11.6      94    0.64      90    0.50     174    0.67    3.72   11.62
  86060  411520 20250306 95602   12.97   97.45    5.98   8.16 11.5      93    0.64      90    0.50     175    0.76    4.72   11.54
