# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 07-03-2025 11:21:39
#X: 71700 - Y: 409500
#00 DONARLOCATIE: ZTS-16
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par8.dat
## TLU        oC <-->
## LUCHTDK    hPa <1016>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHYCOUG
  71700  409500 20250307 112147    0.97   21.88    6.47   8.54 14.2     116    0.97     133    0.75     312    1.82    1.75   14.17
  71700  409500 20250307 112208    1.99   20.78    6.45   8.54 14.2     116    0.97     133    0.75     312    2.14    1.84   14.18
  71700  409500 20250307 112227    2.95   19.83    6.45   8.53 14.2     116    0.97     133    0.75     312    2.07    1.73   14.18
  71700  409500 20250307 112242    3.99   18.76    6.40   8.53 14.2     115    0.97     134    0.76     313    1.95    1.76   14.16
  71700  409500 20250307 112321    5.00   17.56    6.32   8.51 14.0     114    0.97     134    0.76     316    1.91    1.71   14.02
  71700  409500 20250307 112358    6.04   16.35    6.30   8.51 14.0     114    0.97     134    0.76     316    1.81    1.66   13.98
  71700  409500 20250307 112445    7.00   15.09    6.17   8.47 13.8     112    0.99     137    0.78     325    1.39    1.57   13.84
  71700  409500 20250307 112623    8.05   14.65    5.29   8.30 12.9     102    1.19     170    0.97     437    0.78    1.36   12.87
  71700  409500 20250307 112702    9.00   13.36    5.78   8.30 12.9     104    1.60     224    1.30     626    0.80    1.48   12.92
  71700  409500 20250307 112753    9.97   12.55    5.58   8.28 12.8     102    1.59     224    1.30     626    0.80    1.51   12.76
  71700  409500 20250307 112919   11.05   11.69    4.97   8.18 12.2      96    1.57     224    1.30     628    0.80    1.55   12.19
  71700  409500 20250307 113014   12.03   10.81    5.20   8.25 12.5      99    1.60     228    1.32     640    0.85    1.51   12.52
  71700  409500 20250307 113030   13.03    9.74    5.29   8.27 12.5      99    1.61     228    1.33     641    0.83    1.61   12.50
  71700  409500 20250307 113059   14.11    8.34    5.52   8.30 12.6     101    1.65     233    1.36     659    0.81    1.53   12.61
  71700  409500 20250307 113125   14.99    7.44    5.49   8.27 12.7     101    1.67     235    1.37     667    0.75    1.59   12.68
  71700  409500 20250307 113213   16.04    6.34    5.51   8.24 12.4      99    1.69     238    1.39     677    0.75    1.73   12.37
  71700  409500 20250307 113228   17.03    5.30    5.52   8.25 12.3      99    1.69     239    1.39     679    0.77    1.69   12.36
  71700  409500 20250307 113243   18.04    4.11    5.58   8.25 12.4      99    1.72     242    1.41     692    0.77    1.58   12.38
  71700  409500 20250307 113310   19.02    3.24    5.59   8.24 12.3      99    1.74     245    1.43     702    0.76    1.59   12.33
  71700  409500 20250307 113330   20.04    2.21    5.65   8.25 12.3      99    1.75     246    1.44     706    0.76    1.70   12.32
  71700  409500 20250307 113402   20.99    1.28    5.81   8.25 12.3      99    1.79     251    1.46     721    0.78    1.69   12.31
  71700  409500 20250307 113436   22.06    0.75    5.84   8.24 12.2      99    1.79     251    1.47     723    0.79    1.91   12.26
