# VERTIKAAL 5 M.C.ECOS 8 VERTIKAAL
* 03-04-2025 10:11:55
#X: 75750 - Y: 406440
#00 DONARLOCATIE: STEENBGN
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaaards
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1022>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  75750  406440 20250403 101203    1.06    4.30   10.21   8.41 11.2     100    1.24     155    0.88     386    0.81    1.03   11.12
  75750  406440 20250403 101221    2.07    3.48   10.20   8.41 11.2     100    1.24     155    0.88     387    0.78    1.02   11.13
  75750  406440 20250403 101239    2.96    3.24   10.19   8.41 11.2     100    1.24     155    0.88     388    0.77    1.10   11.13
  75750  406440 20250403 101253    3.97    2.93   10.19   8.40 11.2     100    1.24     156    0.88     389    0.83    0.98   11.14
  75750  406440 20250403 101626    4.98    3.64   10.17   8.40 11.2     100    1.25     157    0.89     392    0.82    1.13   11.14
  75750  406440 20250403 101642    6.03    4.30   10.15   8.40 11.2     100    1.25     157    0.89     392    0.87    1.17   11.13
  75750  406440 20250403 101658    7.02    4.06   10.16   8.40 11.2     100    1.25     157    0.89     392    0.77    1.18   11.13
  75750  406440 20250403 101736    7.95    3.45   10.14   8.40 11.2      99    1.25     157    0.89     392    0.82    1.16   11.13
  75750  406440 20250403 101753    9.00    1.96   10.14   8.40 11.2      99    1.25     157    0.89     392    0.78    1.20   11.13
  75750  406440 20250403 101809    9.92    0.75   10.13   8.40 11.2      99    1.25     157    0.89     392    0.77    1.19   11.13
