# VERTIKAAL 9 M.C.ECOS 8 VERTIKAAL
* 03-04-2025 12:06:26
#X: 74430 - Y: 387826
#00 DONARLOCATIE: ZTS-36
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaaards
@ par9.dat
## TLU        oC <-->
## LUCHTDK    hPa <1022>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <0>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBFN PHUCOUG
  74430  387826 20250403 120634    1.04   14.45   10.52   8.37 11.1     100    1.24     154    0.87     384    0.94    2.15   11.04
  74430  387826 20250403 121123    2.08   12.99   10.50   8.36 11.1      99    1.24     154    0.87     384    0.97    2.08   11.02
  74430  387826 20250403 121227    2.95   12.61   10.47   8.36 11.1      99    1.24     154    0.87     384    0.96    2.16   11.03
  74430  387826 20250403 121247    4.02   11.61   10.40   8.36 11.1      99    1.24     155    0.88     385    0.84    2.35   11.02
  74430  387826 20250403 121303    4.98   10.51   10.41   8.36 11.1      99    1.24     155    0.88     385    0.88    2.38   11.02
  74430  387826 20250403 121316    6.12    8.84   10.39   8.36 11.1      99    1.24     155    0.88     385    0.97    2.25   11.02
  74430  387826 20250403 121330    7.01    7.14   10.38   8.36 11.1      99    1.24     155    0.88     386    0.93    2.30   11.02
  74430  387826 20250403 121347    7.90    6.40   10.37   8.35 11.1      99    1.24     155    0.88     387    0.82    2.61   11.01
  74430  387826 20250403 121404    9.06    5.26   10.34   8.35 11.0      99    1.25     156    0.88     389    0.92    2.19   10.99
  74430  387826 20250403 121423   10.09    4.69   10.34   8.35 11.0      99    1.25     156    0.89     391    0.92    2.60   10.97
  74430  387826 20250403 121450   11.11    5.09   10.34   8.35 11.0      98    1.25     156    0.89     391    0.83    2.34   10.95
  74430  387826 20250403 121521   12.03    5.46   10.32   8.34 11.0      98    1.25     157    0.89     392    0.98    3.03   10.94
  74430  387826 20250403 121539   12.93    4.74   10.32   8.34 11.0      98    1.26     157    0.89     393    0.80    2.83   10.91
  74430  387826 20250403 121628   14.10    3.41   10.11   8.29 10.3      92    1.50     188    1.08     501    1.00    2.81   10.28
  74430  387826 20250403 121720   14.95    1.29    9.99   8.20 9.54      84    1.80     226    1.31     635    1.04    4.35    9.46
