# VERTIKAAL 4 M.C.ECOS 6 VERTIKAAL
* 01-05-2025 07:39:01
#X: 72570 - Y: 408770
#00 DONARLOCATIE: ZTS-12
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par3.dat
## TLU        oC <-->
## LUCHTDK    hPa <1019>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <-->

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   GELBH   GEL20  SALNTT     CL- CHFLYSI  TURBID PHYCOUG
  72570  408770 20250501 73901    0.98   11.25   17.34   8.44    1.27     135    0.75     318    0.46    0.45   -0.46
  72570  408770 20250501 73913    2.03    9.40   17.34   8.45    1.28     135    0.76     318    0.49    0.48   -0.59
  72570  408770 20250501 73918    3.03    8.53   17.33   8.45    1.28     135    0.76     318    0.47    0.49   -0.50
  72570  408770 20250501 73923    4.03    7.55   17.12   8.45    1.29     137    0.77     324    0.51    0.51   -0.57
  72570  408770 20250501 73928    4.93    6.45   16.78   8.45    1.32     142    0.79     340    0.53    0.46   -0.50
  72570  408770 20250501 73933    5.90    5.38   16.37   8.44    1.33     144    0.81     347    0.57    0.48   -0.50
  72570  408770 20250501 73939    7.01    4.31   16.46   8.40    1.49     161    0.91     405    0.52    0.57   -0.50
  72570  408770 20250501 73944    7.95    3.37   16.52   8.37    1.80     194    1.10     521    0.53    0.81   -0.65
  72570  408770 20250501 73949    8.92    2.26   16.96   8.33    2.31     246    1.42     706    0.58    1.07   -0.50
  72570  408770 20250501 73955    9.94    1.11   16.47   8.30    2.40     259    1.50     752    0.48    1.01   -0.48
