# VTK  6 Delta
* 04-06-2025 09:39:17
#X: 75689 - Y: 406386
#00 DONARLOCATIE: STEENBGN
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  75689  406386 20250604 93927    0.99    7.83   17.73   8.47 9.96     106    1.27     133    0.74     311    2.18      1.20   10.02
  75689  406386 20250604 93937    0.95    7.60   17.73   8.48 9.96     106    1.27     133    0.74     311    1.79      1.36   10.02
  75689  406386 20250604 93956    2.02    6.17   17.73   8.48 9.97     106    1.27     133    0.74     311    1.74      1.36   10.03
  75689  406386 20250604 94012    3.08    4.94   17.73   8.48 9.96     106    1.27     133    0.74     311    1.68      1.22   10.02
  75689  406386 20250604 94027    4.06    3.84   17.73   8.48 9.95     106    1.27     133    0.74     311    1.80      1.43   10.02
  75689  406386 20250604 94044    4.94    2.81   17.73   8.48 9.95     106    1.27     133    0.74     311    1.80      1.33   10.01
  75689  406386 20250604 94105    5.96    1.76   17.73   8.48 9.96     106    1.27     133    0.74     311    1.75      1.38   10.02
  75689  406386 20250604 94123    6.95    0.15   17.73   8.48 9.97     106    1.27     133    0.74     311    1.87      1.34   10.03
  75689  406386 20250604 94302    7.96    2.50   17.71   8.45 9.82     104    1.27     134    0.75     314    1.21      1.26    9.88
  75689  406386 20250604 94318    8.00    1.90   17.71   8.45 9.81     104    1.27     134    0.75     314    1.20      1.22    9.87
  75689  406386 20250604 94410   10.00    1.05   17.29   8.27 8.74      92    1.64     174    0.98     452    0.74      1.34    8.80
