# VTK  1 Delta
* 04-06-2025 08:07:42
#X: 70315 - Y: 410098
#06 PROJECTCODE: ATS ZTS
#00 DONARLOCATIE: ZTS-15
#08 WAARNEMER(S): Hartman
#21 MEETGEBIED: VOLKERAK/ZOOMMEER
#22 STARTPUNT: ZTS-15
#23 EINDPUNT: ZTS-38
#51 OPDRACHTGEVER: CIV
#52 BEHEERDER: MOBIELMETEN
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  70315  410098 20250604 80757    0.98    8.05   17.50   8.85 11.7     124    1.74     184    1.04     486    5.61      1.94   11.75
  70315  410098 20250604 80807    1.04    8.31   17.50   8.85 11.7     124    1.74     184    1.04     486    4.70      1.76   11.75
  70315  410098 20250604 80825    2.01    7.84   17.51   8.84 11.7     123    1.74     184    1.04     487    5.09      1.91   11.73
  70315  410098 20250604 80842    3.02    7.31   17.52   8.84 11.7     123    1.74     184    1.04     486    5.04      1.95   11.72
  70315  410098 20250604 80859    3.98    7.00   17.52   8.84 11.7     123    1.74     184    1.04     486    5.16      1.84   11.69
  70315  410098 20250604 80936    5.05    7.45   17.52   8.84 11.7     123    1.75     184    1.04     487    5.26      1.77   11.68
  70315  410098 20250604 80956    5.97    7.57   17.51   8.84 11.6     123    1.75     184    1.05     488    4.94      1.83   11.66
  70315  410098 20250604 81014    7.05    7.27   17.49   8.82 11.6     122    1.77     187    1.06     497    4.63      1.86   11.61
  70315  410098 20250604 81048    7.98    6.32   17.20   8.67 10.7     112    1.91     203    1.16     552    4.11      1.88   10.72
  70315  410098 20250604 81143    9.00    3.63   16.71   8.33 8.62      89    2.34     252    1.45     724    1.10      1.49    8.61
  70315  410098 20250604 81213    9.97    1.46   16.59   8.30 8.33      86    2.39     258    1.49     746    1.15      1.49    8.32
