# VTK  14 Delta
* 04-06-2025 14:13:18
#X: 72565 - Y: 390955
#00 DONARLOCATIE: ZTS-32
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  72565  390955 20250604 141335    0.99   10.74   17.90   8.55 10.1     108    1.47     154    0.86     382    1.34      1.50   10.19
  72565  390955 20250604 141345    1.02   13.78   17.90   8.54 10.1     108    1.47     154    0.86     382    1.16      1.44   10.16
  72565  390955 20250604 141406    2.01   12.39   17.90   8.54 10.1     108    1.47     154    0.86     382    1.11      1.58   10.15
  72565  390955 20250604 141431    3.00   13.16   17.86   8.55 10.1     108    1.47     154    0.87     383    1.16      1.53   10.16
  72565  390955 20250604 141449    3.98   13.11   17.83   8.55 10.1     108    1.47     154    0.87     383    1.23      1.57   10.17
  72565  390955 20250604 141514    4.99    9.25   17.81   8.54 10.1     108    1.47     154    0.86     382    1.31      1.46   10.18
  72565  390955 20250604 141541    6.04    3.97   17.76   8.54 10.0     107    1.46     153    0.86     381    1.34      1.50   10.12
  72565  390955 20250604 141605    7.04   11.24   17.72   8.52 10.0     106    1.45     153    0.86     378    1.10      1.62   10.06
  72565  390955 20250604 141622    8.00   10.43   17.63   8.51 9.94     105    1.45     153    0.86     378    1.02      1.51    9.99
  72565  390955 20250604 141716    9.00    9.33   16.58   8.31 8.93      93    1.56     168    0.95     430    0.37      1.51    8.98
  72565  390955 20250604 141743    9.94    8.24   16.37   8.27 8.69      90    1.59     172    0.97     445    0.36      1.87    8.73
  72565  390955 20250604 141801   11.03    7.10   16.17   8.24 8.56      88    1.66     180    1.02     473    0.35      1.66    8.60
  72565  390955 20250604 141901   11.99    6.13   15.50   8.02 7.27      74    2.05     226    1.30     635    0.30      2.09    7.31
  72565  390955 20250604 142009   12.96    5.21   13.96   7.62 3.77      37    2.42     277    1.61     795    0.36      3.26    3.79
  72565  390955 20250604 142054   13.96    4.09   13.16   7.49 2.02      20    2.65     308    1.81     906    0.46      4.05    2.03
  72565  390955 20250604 142145   15.01    2.73   12.55   7.44 0.91       9    2.71     321    1.89     949    0.50      4.39    0.92
  72565  390955 20250604 142224   16.02    1.39   12.21   7.42 0.37       3    2.71     323    1.90     956    0.57      4.71    0.37
  72565  390955 20250604 142242   17.03    0.77   12.06   7.42 0.26       2    2.71     325    1.91     962    0.55      4.49    0.26
