X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TURBID;CHLFRFU;GELBH;Echms
51.65693833;4.305645;20250625;104412;-107;20.63;8.44;95.6;8.57;193.43;-0.67;0.53;96.21;2.28;1.02;0.98;0
51.65688167;4.305338333;20250625;104436;-214;20.62;8.45;95.44;8.55;193.49;-0.66;0.53;96.23;2.38;1.01;0.98;14.28
51.65684667;4.305111667;20250625;104502;-308;20.65;8.45;95.5;8.55;194.2;-0.69;0.53;96.46;2.4;0.89;0.98;0.83
51.65684;4.305053333;20250625;104518;-406;20.64;8.46;95.33;8.54;193.98;-0.74;0.53;96.39;2.17;1.05;0.98;12.29
51.65682667;4.305035;20250625;104536;-500;20.63;8.46;95.22;8.53;194.01;-0.8;0.53;96.4;2.34;0.97;0.98;11.39
51.65683;4.305045;20250625;104555;-603;20.63;8.46;95.16;8.53;193.75;-0.67;0.53;96.32;2.17;1.2;0.98;10.31
51.65684167;4.30511;20250625;104615;-707;20.58;8.45;94.88;8.51;192.82;-0.73;0.53;96.01;2.21;0.91;0.97;9.26
51.656855;4.305163333;20250625;104631;-805;20.56;8.44;94.64;8.49;191.51;-0.69;0.52;95.57;2.44;0.89;0.97;8.26
51.65686667;4.305223333;20250625;104649;-895;20.55;8.44;94.36;8.47;190.97;-0.65;0.52;95.39;2.77;1.08;0.97;5.03
51.656875;4.305275;20250625;104708;-1011;20.55;8.44;94.27;8.46;191.26;-0.75;0.52;95.49;2.35;0.98;0.97;2.33
51.656875;4.3053;20250625;104727;-1106;20.54;8.43;94.05;8.44;191.01;-0.7;0.52;95.41;2.89;1.98;0.97;5.3
51.656875;4.305306667;20250625;104746;-1203;20.54;8.44;93.89;8.43;190.99;-0.85;0.52;95.4;2.25;1.38;0.97;1.97
51.656875;4.305308333;20250625;104802;-1308;20.53;8.44;93.5;8.4;191.09;-0.67;0.52;95.43;2.44;1.15;0.97;3.28
51.65687167;4.305303333;20250625;104820;-1403;20.53;8.43;92.65;8.32;192.56;-0.68;0.53;95.92;2.91;0.82;0.97;2.35
51.65687;4.305281667;20250625;104843;-1505;20.53;8.41;91.29;8.2;195.22;-0.83;0.53;96.8;4.74;0.73;0.98;0.53
