X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51,33407333;4,3019;20250626;112757;1;21,48;8,25;112,61;9,43;4799,02;-0,12;8,63;1339,79;1,56;3,45;13,82;14,95
51,33395667;4,30205;20250626;112825;2,02;21,41;8,23;110,64;9,27;4825,22;-0,34;8,68;1346,44;1,53;3,15;13,87;13,9
51,33384333;4,302203333;20250626;112859;2,98;21,37;8,22;109,62;9,19;4838,61;-0,29;8,7;1349,84;1,48;3,07;13,89;13,27
51,33381833;4,302195;20250626;112937;4,04;21,36;8,21;109,03;9,15;4851,97;-0,47;8,73;1353,24;1,39;3,36;13,92;0,31
51,33376333;4,302105;20250626;113033;5,06;21,27;8,18;106,49;8,94;4899,28;-0,46;8,81;1365,26;1,43;2,91;14,02;10,72
51,33374833;4,302095;20250626;113105;6,05;21,24;8,17;105,02;8,82;4946,63;-0,41;8,89;1377,34;1,6;3,14;14,14;9,72
51,333765;4,3021;20250626;113157;7;21,24;8,16;103,92;8,72;5015,78;-0,4;9,02;1394,99;1,86;2,75;14,32;8,57
51,33382;4,302155;20250626;113238;8;21,24;8,16;103,55;8,69;5022,06;-0,4;9,03;1396,59;1,94;2,51;14,34;7,8
51,33386333;4,30221;20250626;113301;9,02;21,27;8,17;104,22;8,74;5005,28;-0,45;9;1392,34;1,88;2,56;14,3;6,92
51,33392833;4,302298333;20250626;113333;9,99;21,22;8,14;101,97;8,55;5143,64;-0,45;9,25;1427,54;2,45;2,12;14,65;6,15
51,33397667;4,302413333;20250626;113402;11;21,25;8,14;101,33;8,49;5182,3;-0,55;9,32;1437,4;2,94;2,27;14,76;5,02
51,33401667;4,302528333;20250626;113425;11,97;21,21;8,12;99,6;8,34;5299,68;-0,6;9,53;1467,16;3,51;1,66;15,05;4,14
51,33406167;4,30266;20250626;113450;13,14;21,24;8,09;98,51;8,22;5508,88;-0,64;9,9;1520,13;4,75;1,67;15,6;3,24
51,334125;4,302813333;20250626;113516;13,94;21,21;8,03;95,03;7,89;6050,71;-0,73;10,86;1656,2;7,39;1,39;16,99;2,42
51,33422667;4,303036667;20250626;113554;15,02;20,99;7,92;88,45;7,32;6778,59;-0,58;12,16;1836,66;10,71;1,02;18,75;1,56
51,334275;4,303146667;20250626;113614;16,02;20,99;7,91;86,71;7,17;6899,99;-0,68;12,37;1866,57;15,78;1,02;19,06;0,43
